Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2005,The Wedding Date,American,Clare Kilner,"Debra Messing, Dermot Mulroney",comedy,https://en.wikipedia.org/wiki/The_Wedding_Date,"Kat Ellis (Debra Messing) is a single New Yorker who returns to her parents' house in London to be the maid of honor at her younger half sister Amy's (Amy Adams) wedding. The best man is none other than her former fiancé, who unexpectedly dumped her two years ago. Anxious about confronting him and eager to impress him, she hires suave escort Nick Mercer (Dermot Mulroney) to pose as her boyfriend.
Kat intends to make her former flame, Jeffrey (Jeremy Sheffield), jealous, but her plan backfires when Nick convinces everyone, including her, that they are madly in love. Kat then feels herself, too, falling for Nick as he slowly falls for her. The night before the wedding, Kat discovers Amy slept with Jeffrey when they were still together, and that Jeffrey dumped Kat because he believed he was in love with Amy. Nick had discovered this fact a day earlier, and when Kat finds that out, she feels betrayed from all sides, and puts Nick off. He decides to return to America, and leaves Kat the money she had paid him.
On the wedding day, seeing Kat distressed, her step-father (Peter Egan) asks Kat if Nick 'is the guy for you', and Kat realizes he is, so she sets off to find him. Meanwhile, just before the wedding, Amy confesses her betrayal to her fiancé, Ed (Jack Davenport), but professes her love for him. Ed, upset, chases Jeffrey out of the church and down the road. Jeffrey in distress of the chase, said he gave up on Amy and believes he's done nothing wrong. To which Ed, calls him a ""back-stabbing weasel"", though Jeffrey believes he's still done nothing wrong because he slept with Amy before they dated. Ed shouts out that he was engaged to Kat, proving he was still in the wrong for what he did to Kat. Nick, driving away, picks up Ed as Jeffrey disappears into the woods.
Nick and Ed talk about love, and Ed decides he loves Amy more than he is angry. To make it more clear that he should go back, Nick tells Ed if he went back the couple would end up having great make-up sex. To which, Nick helps urge him more to return to the church, so they end up getting married, with Nick as 'new' best man. Just before the ceremony, Nick tells Kat he realized he'd ""... rather fight with you than make love with anyone else"", and they kiss passionately. Kat and Nick begin a real relationship together. Amy and Kat now reconcile and Kat lets go of her anger and forgives Amy since she confessed the truth to Ed. TJ, Kat's cousin also apparently enjoys a moment with Woody after the wedding. Jeffrey, the main cause of all the trouble, learns absolutely nothing. At the end he is seen trying to get the attentions of a female neighbor."
2006,A Guide to Recognizing Your Saints,American,Dito Montiel,"Robert Downey, Jr., Shia LaBeouf, Chazz Palminteri, Dianne Wiest",crime drama,https://en.wikipedia.org/wiki/A_Guide_to_Recognizing_Your_Saints,"Present Day: Dito is a successful writer in Los Angeles. One day, after being urged by his mother, Flori, and his friend, Nerf, Dito visits his childhood home, Astoria, New York, because his father has suddenly become very ill. The film switches back and forth between the present and flashbacks with Dito's memories in the summer of 1986.
Dito meets Nerf, and talks with him in a parked car, where they can talk undisturbed, which would not have been possible at Nerf's house. Dito then visits Laurie, his childhood sweetheart, who is now a mother. They only talk through the open window; she does not let him in. Dito finally visits his father, Monty. Monty used to ignore Dito's feelings, and he didn't want Dito to travel. He is angry at Dito for leaving, and for not returning sooner to visit; he then sends Dito away. Laurie urges him to be a man and come to terms with his father, who was heartbroken when he left. Dito does leave, but returns later, to insist that he take his father to the hospital.
1986: Antonio, an overconfident, volatile boy with an abusive father, eventually kills someone: the Puerto Rican gangmember Reaper, as payback for an attack on young Dito.
Viewers are then introduced to Antonio's younger brother, Giuseppe - reckless, destructive, and possibly insane. Giuseppe lay on a subway track; in spite of urgent warnings from his brother Antonio and Nerf, that a train was coming, he failed to get back on the platform and was killed
Mike O'Shea, another friend of Dito's, was a Scottish boy who dreamt of becoming a musician. Mike and Dito had planned to go to California on a bus. They worked for a gay drug addict, Frank, with a dog-walking business. They went to his house to collect the wages he was slow in paying. At first he did not listen to them, but then he gave them all the money he kept in the refrigerator, more than he owed them and told them to leave town. Shortly thereafter, Mike was murdered by a member of a Puerto Rican gang in retaliation for the murder of Reaper, after which Dito travelled alone to California.
Present Day: Dito visits the adult Antonio in prison and sees him as a changed man of wisdom. The film concludes with the two of them sitting down in conversation."
2013,Enough Said,American,Nicole Holofcener,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener, Toni Collette, Ben Falcone",comedy,https://en.wikipedia.org/wiki/Enough_Said_(film),"Eva, a masseuse and the divorced mother of a teenage girl, attends a party in Pacific Palisades with her friends, married couple Will and Sarah. There she meets a poet, Marianne, and Will introduces Eva to one of his friends, Albert. After the party, Albert asks Will for Eva's number and, although hesitant since she is not physically attracted to him, Eva agrees to go on a date with Albert, which goes well. Marianne contacts Eva for a massage, and after taking an immediate liking to one another they become friends.
Eva finds herself growing fonder of Albert and they have lunch with his teenage daughter, Tess, who, like Eva's daughter Ellen, is graduating from high school and moving away to attend college. A few days later, Eva goes to her massage appointment with Marianne and realizes that Albert is Marianne's ex-husband after Marianne tells a story about how he manages to pick out onions when scooping salsa — the same story Albert had told Eva, but about guacamole. Tess then arrives at the house and Eva's suspicions are confirmed. Marianne tries to introduce Eva to Tess, but Eva hides behind a tree to avoid the meeting. Eva continues seeing Albert, keeping her friendship with Marianne a secret; likewise, she does not tell Marianne that she is seeing him.
Eva encourages Marianne to voice her complaints about Albert so she can identify potential problems in her relationship with him. At the encouragement of Eva, Sarah and Will invite her and Albert to a dinner party, which ends badly after Eva nitpicks over Albert's faults, which upsets him. At another appointment with Marianne, Eva is exposed when Albert arrives to drop Tess off. He is angry that Eva kept her friendship with Marianne a secret, and breaks up with her.
Eva and her ex-husband take Ellen to the airport for her flight to college. A few months later, on Thanksgiving Day, Eva drives by Albert's home and stops in front of the house on her way to pick up Ellen from the airport. He sees her and she awkwardly waves. He eventually comes outside, to Eva's surprise, and sits with her on the porch while they begin to renew their relationship."
2012,About Cherry,American,Stephen Elliott,"Ashley Hinshaw, James Franco, Dev Patel, Heather Graham, Lili Taylor, Diane Farr",drama,https://en.wikipedia.org/wiki/About_Cherry,"Angelina (Hinshaw) is an 18-year-old girl not far from graduating from high school. Her boyfriend Bobby (Weston) suggests that she take naked pictures of herself and sell them. She is initially hesitant, but eventually does the photo shoot and uses the money to run away to San Francisco with her best friend Andrew (Patel). At a strip club party in the city, Angelina meets a wealthy lawyer named Francis (Franco), who offers to introduce her to a glamorous world of expensive dresses and lavish parties. Angelina also meets Margaret (Graham), a former porn star turned adult film director. Margaret offers Angelina, now using the porn name Cherry, direction in her entry into the San Francisco porn industry.[5][6] Angelina makes several soft pornography films before deciding to do a hardcore film. After Angelina shoots the film, an angry Francis chastises her before getting them in a car accident. Angelina returns home to find Andrew watching one of her films. After an argument, she decides to leave and meets Margaret at a bar. They make out before returning to Margaret's apartment to have sex. The final scene is of Angelina some time afterwards, having moved in with Margaret and becoming her lover, and takes on a new job as a porn director."
2001,Jeepers Creepers,American,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck",horror,https://en.wikipedia.org/wiki/Jeepers_Creepers_(2001_film),"Trish Jenner and her brother Darry are traveling home from college for spring break. As they drive through the Florida countryside, an old rusty truck tries to run them off the road. The vehicle eventually passes them, and they later see the same truck parked next to an abandoned church with a man sliding what appears to be bodies wrapped in blood-stained sheets into a large pipe sticking out of the ground. The man notices Trish and Darry watching him and attempts to run them off the road a second time.
After escaping, Darry convinces Trish to go back to the church and investigate. At the church, Darry hears noises coming from within the pipe and crawls inside with Trish holding on to his feet, but ends up falling in. At the bottom, he finds a dying man with stitches running down his stomach, and hundreds of other bodies sewn to the basements walls and ceiling. After Darry escapes, the two flee the scene and attempt to contact the police at a diner. At the diner, they are phoned by a strange woman who warns them that they are in danger. Confused and frightened, they ignore her warning. Later, Trish and Darry leave, with two police officers providing a security escort. As they travel, the police learn that the church has caught fire, and any evidence of bodies has been destroyed. The police are then attacked and killed by the mysterious driver, who loads their bodies into his truck.
Trish and Darry stop at a reclusive old woman's house, and beg her to call the police. The woman complies until she notices the driver hiding in her yard. She attempts to kill him, but the driver kills her and reveals his inhuman face to Trish and Darry, before pursuing them once again. Trish runs the driver over with her car, but they are horrified to see a giant wing tear through his trench coat and flap in the air. They drive to the local police station, where they are approached by psychic Jezelle Gay Hartman. She reveals herself as the woman who called them at the diner and tells them the true nature of their pursuer: It is an ancient creature, known as ""the Creeper"", which awakens every twenty-third spring for twenty-three days to feast on human body parts, which then form parts of its own body. She also tells them that it seeks out its victims through fear, and, by smelling the fear from Trish and Darry, it has found something it likes, but she does not know what.
The wounded Creeper arrives and attacks the police station. After cutting off the power, it gains entrance to the cells and eats prisoners to heal. The Creeper is swarmed by police but kills a number of them and evades capture. Trapped, Jezelle warns Trish and Darry that one of them will die a horrible death. Darry demands to know who, and Jezelle looks at Trish. The Creeper finds them, but spares Jezelle as she does not have anything it wants. The Creeper corners Trish and Darry in an upstairs interrogation room, and after sniffing and tasting them, the Creeper throws Trish aside and chooses Darry. Trish offers her life for her brother's, but the Creeper escapes out of the window and flies away with Darry. The next day, Trish is picked up by her parents, and Jezelle returns home in regret. In the Creeper's new hideout, an abandoned factory, it is revealed that the Creeper has removed the back of Darry's head and taken his eyes."
2001, Rat Race,American,Jerry Zucker,"John Cleese, Rowan Atkinson, Cuba Gooding Jr., Seth Green, Breckin Meyer, Whoopi Goldberg, Amy Smart",comedy,https://en.wikipedia.org/wiki/Rat_Race_(film),"Donald Sinclair, the eccentric owner of The Venetian Resort in Las Vegas, devises a new game to entertain the high rollers who visit his hotel. Six special tokens are placed in the casino's slot machines, and the winners are told that $2 million in cash is hidden in a duffel bag in a train station locker in Silver City, New Mexico, 563 miles southeast of Las Vegas. Each team is given a key to the locker and told to race to the train station to claim the money. Unbeknownst to the competitors, Sinclair's wealthy patrons are placing bets on who will win. The patrons continue making smaller bets throughout the film, facilitated by Sinclair's assistant Grisham, who at one point hires an escort as part of a dare.
Among the racers are scheming siblings Duane and Blaine Cody, businesswoman Merrill Jennings and her estranged mother Vera, disgraced American football referee Owen Templeton, the Pear family led by opportunistic father Randy, eccentric Italian tourist Enrico Pollini, and no-nonsense Nick Schaffer.
Unable to get on the earliest flight, Duane and Blaine manage to destroy the airport radar with their Ford Bronco, grounding everybody else. However their vehicle is wrecked in the sabotage, so they steal another. The brothers decide to split up and create a replica key to double their chances of winning. The locksmith overhears their plan and makes off with the key in a hot air balloon. Duane and Blaine catch up to him, leaving the locksmith and a stray dairy cow hanging from the balloon's anchor rope. The brothers later steal a monster truck and continue towards Silver City.
Merrill and Vera crash their car after being given malicious road directions. They steal a rocket car, which races across the desert until it runs out of fuel. The women dizzily stumble onto a bus full of mental patients which eventually drives toward Silver City.
Owen masquerades as the driver of a bus filled with Lucille Ball impersonators going to an I Love Lucy convention. Outside Silver City, the bus hits the cow dangling from the hot air balloon and swerves off the road. Owen has an emotional breakdown, reveals he is not the bus driver, and is forced to flee from the women on foot. Owen eventually rides a stolen horse to Silver City.
Randy Pear deceives his family into accompanying him in the race, stating that it is a business trip. The family mistakenly visits a museum dedicated to the Nazi Klaus Barbie. After the Cody brothers vandalize their vehicle, the Pears steal Adolf Hitler's staff car to continue. Randy declines to end the trip when his family becomes tired of traveling. He eventually tells them about the $2 million, and they are initially excited. However, when his family insists on ending the trip again, he drugs them with sleeping pills and bundles them into a semi-truck to reach Silver City.
Nick chooses not to participate in the race until he meets pilot Tracy Faucet, who gives him an advantage as she is one of the few still able to fly, using her non-fixed-wing helicopter. The helicopter stalls after Tracy uses it to attack her cheating boyfriend. The two then steal his truck to continue the race.
Narcoleptic Enrico falls asleep at the start of the race and only awakens hours later. He receives a ride from an ambulance driver, Zack, who is delivering a transplant heart to El Paso. Enrico eventually boards a train heading to Silver City.
The racers reunite in Silver City and tackle each other to open the locker, only to find it is empty. Outside, they find Sinclair's assistant Grisham and the call girl he hired making off with the money bag. They lose it when the locksmith ties it to the balloon, only for the three to crash their car.
The racers follow the balloon until it lands at an outdoor charity concert hosted by Smash Mouth. The band and crowd mistake the money as a donation, and once they see the charitable good spirit they have made, the group are persuaded to accept. Nick surprises a horrified Sinclair and his patrons by declaring to the audience that the gamblers will match the amount of money already raised. The racers dance to ""All Star"" while Sinclair cries."
2007,Alvin and the Chipmunks,American,Tim Hill,"Jason Lee, Ross Bagdasarian Jr., Janice Karman, David Cross, Justin Long, Matthew Gray Gubler, Jesse McCartney","family, musical",https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks_(film),"The tree that the chipmunks Alvin, Simon, and Theodore live in is cut down, and driven to Los Angeles. After JETT Records purchases it as a Christmas tree, the Chipmunks meet the struggling songwriter and composer, David Seville, who has had his latest song rejected by the company's chief executive, Ian Hawke, his former college roommate and best friend, who claims that there is ""no sense in writing songs that no one is ever going to sing."" Dave also once had a relationship with his next door neighbor, Claire Wilson.
In the process of escaping the JETT building, the Chipmunks hop into a basket of muffins Dave stole from one of Ian's coworkers, and follow him home. Once there, Dave discovers the Chipmunks and kicks them out, only to hear them sing ""Only You (And You Alone)"". He then makes a deal with them; they sing the songs he writes, and he provides food and shelter for them. Unfortunately, when Dave tries to present the Chipmunks to Ian, they fail to sing to him on account of stage fright. The day worsens as Dave is dismissed as the Chipmunks ruin his job presentation by having drawn on it, thus getting him fired from his job. When Alvin tries to set the mood for Dave's dinner with Claire, things become peculiar, and she rejects Dave after he tells her about the Chipmunks. To make it up to Dave, the Chipmunks go to Ian in an attempt to obtain a record deal.
Once the Chipmunks sing Dave's song to Ian, Ian signs them to the label, and calls Dave the next day. After a few singles, the Chipmunks become an international success. When Dave expresses concern for their well-being and insists that the Chipmunks are ""children"" who do not need so much craziness in their lives, Ian convinces the Chipmunks that Dave is holding them back. After a misunderstanding with Dave, they go to live with Ian. They are enchanted with Ian at first, but once they set off on a nationwide coast-to-coast tour, he takes advantage of their naïvete, changing their image and working them constantly. Meanwhile, Dave misses the Chipmunks, and he wishes that they would return. He calls Ian and asks to talk to them, but Ian declines, and then conceals Dave's motives from the Chipmunks, saying that he sent Dave tickets, but that Dave sent them back. Later, the fact that the Chipmunks are becoming worn out is all over the news. Frustrated by what Ian has done to the Chipmunks, Dave decides to take matters himself by infiltrating their concert to reunite with them.
On the night before the big concert that is to transition the coast-to-coast tour into a world tour, a vet explains to Ian that the Chipmunks' voices have worn down due to exhaustion, and suggests that they should take a lengthy rest. Rather than cancel the concert and hand out refunds, Ian advises the Chipmunks to lip sync. With Claire's help, Dave is allowed into the concert, but is ejected by security. Witnessing the commotion, the Chipmunks realize that they've been tricked and, deciding that they have had enough of Ian, they stall the concert. Ian locks them in a cage and prepares to take them for the world tour. Dave tries to convince Ian to let the Chipmunks go, but Ian refuses. Ian then leaves in his limo with the Chipmunks, and Dave chases them, but the Chipmunks have already escaped to Dave's car. Dave immediately pulls over and admits that he loves them like his own family. Meanwhile, Ian looks in the cage, and is shocked to see that the Chipmunks have replaced themselves with international merchandising dolls.
Later that night, the Chipmunks are fully accepted as part of the family, and they invite Claire over for dinner again. Alvin accidentally creates a short circuit after having difficulty popping the cork of a champagne bottle. Though Dave decides not to say his catchphrase, the short circuit causes a blackout in the kitchen. As a result, Dave can no longer prevent it.
In a mid-credits scene, Ian, now unemployed, tries to make three squirrels sing ""Deck the Halls"", but fails. After this, a message says ""This film is dedicated to Ross Bagdasarian Sr., who was crazy enough to invent three singing chipmunks nearly fifty years ago""."
2009, (500) Days of Summer,American,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel",romantic comedy,https://en.wikipedia.org/wiki/(500)_Days_of_Summer,"The film is presented in a nonlinear narrative, jumping between various days within the 500 days of Tom and Summer's relationship. There is an on-screen timer showing the day. The following is a linear summary of the plot.
On January 8, Tom Hansen meets Summer Finn, his boss's new assistant. Tom is trained as an architect but works as a writer at a greeting card company in Los Angeles. After discovering they have a similar taste in music, they have a conversation about love at a karaoke night; Tom believes in it, but Summer does not. Tom's friend and co-worker McKenzie drunkenly reveals that Tom likes Summer, which Tom asserts is only ""as friends"", something Summer agrees with. A few days later, Summer kisses Tom in the copy room at work. During the next few months Summer and Tom grow closer.
Tom shows Summer his favorite spot in the city, which overlooks a number of buildings he likes, though the view is somewhat spoiled by parking lots. After several months of dating, both Tom's friends and his preteen half-sister Rachel push him to question Summer where they are in their relationship, though Summer brushes this off, saying that it should not matter if they are both happy. One night, Tom gets into a fight with a man who tries to pick up Summer in a bar, which causes their first argument. They make up and Summer concedes Tom deserves some certainty, but that his demand that she promises to always feel the same way about him would be impossible for anyone to make.
On day 290, they are hanging out in a cafe. Tom wants to go back to Summer's place but she insists on seeing The Graduate and weeps at the ending, which surprises Tom as he'd always thought it was a romantic fairy tale. They visit the record store, but Summer is distracted, appears to have lost interest in Tom, and kisses him good night. Tom tempts her with an offer of pancakes at a diner, where Summer casually announces that the relationship hasn't been working and breaks up with Tom while they are waiting for the food to arrive. Summer wants them to remain friends, but Tom is devastated.
Summer quits her job at the greeting card company. Tom's boss moves him to the consolations department, as his depression is making him unsuitable for happier events. Tom goes on a blind date with a woman named Alison. The date does not go well as he spends it complaining about Summer until an exasperated Alison ends up taking Summer's side. Months later, Tom attends co-worker Millie's wedding and tries to avoid Summer on the train, but she spots him and invites him for coffee. They have a good time at the wedding, dance together, and Summer catches the bouquet. She invites Tom to a party at her apartment and falls asleep on Tom's shoulder on the train ride back. He attends the party hoping to rekindle their relationship but barely gets to talk to Summer and spends most of the night drinking alone, until he spots her engagement ring. Tom leaves, close to tears. He enters a deep depression, only leaving his apartment for alcohol and junk food. After a few days, he returns to work with a hangover and, after an emotional outburst, quits his job. Rachel tells Tom that she does not believe Summer was ""the one"" and that his depression is being worsened by the fact that he is only looking back on the positive aspects of their relationship.
One day he suddenly finds the energy to get out of bed and rededicates himself to architecture, something Summer had pressured him to do. He makes a list of firms he wants to work for, assembles a portfolio, and goes to job interviews. On day 488, Summer is waiting for Tom at his favorite spot in the city and they talk. Summer explains that Tom was right about true love existing; he was just wrong about it being with her. She says she got married because she felt sure about her husband, something she wasn't with Tom. Summer puts her hand on Tom's and says she is glad to see he is doing well. As she leaves, Tom tells her he really hopes she is happy.
Twelve days later, on Wednesday, May 23, Tom attends a job interview and meets a girl who is also applying for the same job. He finds that she shares his favorite spot and dislike for the parking lots. As he is entering the interview, he invites her for coffee afterwards. She politely declines, then changes her mind. Her name is Autumn."
2005,The League of Gentlemen's Apocalypse,American,Steve Bendelack,"Jeremy Dyson, Mark Gatiss, Steve Pemberton, Reece Shearsmith",comedy,https://en.wikipedia.org/wiki/The_League_of_Gentlemen%27s_Apocalypse,"One night, Jeremy Dyson calls the other members of The League of Gentlemen to talk about a new series idea he's had, in which everyone in Royston Vasey would wake up with a tail, but the other writers no longer wish to write the series and are keen to move on to new projects. Suddenly he is confronted by three characters from the series; Papa Lazarou and the Tattsyrups. Dyson tries to run, but falls off the edge of a cliff.
At the church in Royston Vasey, the local vicar, Bearnice Woodall, tells fellow residents Pauline Campbell-Jones and Mr. Chinnery that there are signs of The Apocalypse occurring.
Hilary Briss has escaped from prison and is on the moors near Royston Vasey. He finds Herr Lipp there and holds him hostage. Briss uses Lipp to steal a car, driven by Geoff Tipps. Fleeing fireballs, Briss leads them through a door in the church crypt, and they emerge In the real town of Hadfield, Derbyshire, the setting for Royston Vasey in The League of Gentlemen television series.
With the situation explained to them by Lazarou and the Tattsyrups, Briss, Herr Lipp and Geoff Tipps travel to London. Lipp pretends to be his creator, Steve Pemberton, and goes home, where he discovers that Pemberton has been neglecting his family.
Briss and Tipps read through The League of Gentlemen's new project, a historical horror called The King's Evil. While Tipps continues to read, Briss chases after an escapee Pemberton and re-captures him, but when they return to the hideout, Briss discovers that Tipps has written himself into the plot of The King's Evil as the hero.
Lipp meanwhile has become deeply attached to Pemberton's family, in particular his children. He looks through some of Pemberton's personal belongings in order to find Pemberton's notes.
Briss takes Pemberton up to Hadfield, where Pemberton telephones Reece Shearsmith to tell him what has been going on. Shearsmith does not believe that Pemberton has been captured and thinks that Briss is playing a joke on him, so Briss comes to the phone. Shearsmith initially believes that Mark Gatiss is joining in on the ""joke"" when he opens a door and Gatiss is standing right in front of him. Shearsmith and Gatiss find and capture Herr Lipp, and they travel up to Hadfield.
They enter the dimensional door, go back to Royston Vasey, and swap their hostages, but Pemberton is killed by a stray gunshot. Dr Erasmus Pea, the villain of The King's Evil, tries to convince Briss to leave Royston Vasey and join him, but Briss refuses. Pea kills his fellow characters and turns them into a gigantic homunculus, which Briss fights. Shearsmith and Gatiss climb up the wall of the church in order to escape, but Shearsmith falls to his death.
Briss kills the monster, but he himself is stabbed in the back by Pea. Before he dies, he tells Tipps that he is the only one who can save Royston Vasey. Tipps fights with Dr. Pea, while Gatiss tries to return to the modern world. However, he is stopped by Herr Lipp, who holds him at gunpoint. Tipps manages to kill Pea using part of the homunculus, but the chaos still goes on. In the church, Lipp says he will kill Gatiss. The other characters try to dissuade him, as they believe that once all the writers are dead, Royston Vasey will cease to exist and all of them will die. Lipp claims that they will in fact be better off, because as long as they're being controlled by someone else they have no free will and can never change for the better. Tipps tells Lipp that because he managed to save the day and can therefore change, Lipp does not need to kill Gatiss. He persuades Herr Lipp to hand him the gun, only for Tipps to accidentally fire it and kill Gatiss himself.
With all the writers now dead, the residents of Royston Vasey prepare for the worst, but instead, everything calms down and The Apocalypse ends. The characters realise they now have free will. Herr Lipp adopts some orphaned children, the vet, Mr Chinnery, finds a rabbit and is able to take care of it without killing it, and Bearnice and Pauline appear to become romantically involved. Tipps leaves the church, waving goodbye to Edward, Tubbs and Papa Lazarou. It appears that Royston Vasey can continue to exist independently of its dead creators.
However, Dyson is still alive and in a coma after falling off the cliff. Everyone else in the world now has tails."
2009,Crossing Over,American,Wayne Kramer,"Harrison Ford, Sean Penn, Jim Sturgess, Ashley Judd, Alice Eve, Alice Braga, Cliff Curtis, Summer Bishil, Ray Liotta",drama,https://en.wikipedia.org/wiki/Crossing_Over_(film),"After immigrant Mireya Sanchez is deported, ICE / Homeland Security Investigations Special Agent Max Brogan takes care of her little son and brings him to the boy's grandparents in Mexico. Later the woman is found dead near the border. Brogan returns to the grandparents to tell them the bad news.
Taslima Jahangir, a 15-year-old girl from Bangladesh, presents a paper at school promoting that people should try to understand the 9/11 hijackers. The school principal reports this to authorities. FBI agents raid the home and ransack the girl's room, reading her diaries and a school assignment on the ethics of suicide; they criticize her room as ""too austere"" and note that she has an account on an Islamic website. The profiler says this makes her look like a would-be suicide bomber. Taslima is not charged for this, but it turns out that she stays in the United States illegally. She was born in Bangladesh and brought to the United States at age three. Taslima's continued presence jeopardizes her chances and puts at risk her two younger siblings, who are US citizens because they were born in the country. Denise Frankel, the immigration defense attorney, suggests that instead of the whole family's being deported, Taslima can leave for Bangladesh with her mother while the rest of the family stays in the U.S.
Cole Frankel, an immigration examiner/officer, gets into a car accident with Claire Shepard, an aspiring actress from Australia. Realizing that she is in the country illegally, Cole makes an arrangement with Claire whereby she will have unlimited sex with him for two months in exchange for a green card. When Cole eventually says he wants to leave his wife for Claire, she makes it clear that she holds him in contempt and is only sleeping with him for the green card. In a moment of clarity, Cole exempts Claire from completing the three months and arranges for her to get her green card in the mail. Special Agents from the ICE / Office of Inspector General eventually confront Claire about the suspiciousness in her immigration paperwork, and she admits to the sexual arrangement she had with Cole and leaves the country ""voluntarily"". Cole is arrested by ICE/OIG for corruption. His wife Denise Frankel adopts a little girl from Nigeria, who has already been in the detention center for 23 months.
Brogan has a colleague, Hamid Baraheri. His family disapproves of his sister's having sex with Javier Pedroza, a married man. Encouraged by his father, Farid Baraheri (Hamid's brother) plans to scare the couple, but things get out of hand: he shoots both of them, and goes to Hamid, who helps him hide the evidence. Brogan slowly suspects Hamid's involvement as the film progresses.
Javier Pedroza worked in a copy shop and made extra money by providing counterfeit immigration papers. Claire had previously paid him for false papers before she had made her arrangement with Cole. But when Javier was killed, the authorities discovered her documents among his belongings, leading the immigration team to examine Claire's case more closely.
South Korean teenager Yong Kim is about to be naturalized with the rest of his family, but he has started to hang out with a bad crowd and ultimately participates in a convenience store robbery to ""pop his cherry"" with his gang. Hamid happens to be at the same convenience store and kills the other robbers but (due to his own guilt over his involvement in his sister's death) lets Yong Kim go free.
Gavin Kossef, Claire's boyfriend and an atheist Jewish musician from the United Kingdom, pretends to be a religious Jew in order to get a job at a Jewish school, which allows him to stay in the U.S. When reporting to an immigration office, the immigration examiner/officer makes him demonstrate his familiarity with the Jewish religion in front of a rabbi visiting for other purposes – Kossef chants poorly but the rabbi gives his approval. After the test, in private, the rabbi requires Kossef to bring his ""wonderful"" voice to temple and to take lessons from him to eliminate the deficiencies in his knowledge.
Brogan investigates Hamid's sister and sister's boyfriend's murders. He finds proof of Farid's guilt in the murders and Hamid's guilt in the cover-up. Disgusted by Hamid's and Farid's actions he turns the evidence over to the Los Angeles Police Department. The LAPD arrests Farid for two counts of murder and Hamid as an accessory to two murders after the fact."
